厂商,模型名称,官方输入价格/M token,官方输出价格/M token,模型说明,温度范围,默认温度,模型地区,是否常用模型,是否收藏
ChatGPT（Open AI）,gpt-5,￥8.90,￥71.20,跨领域编码与智能体任务中表现最出色的模型,[0-2],1,国外,"是
",
ChatGPT（Open AI）,gpt-5-mini,￥1.78,￥14.24,用于明确定义任务的更快速且高性价比版本的 GPT-5,[0-2],1,国外,是,
ChatGPT（Open AI）,gpt-5-nano,￥0.36,￥2.85,GPT-5 的最快且最具性价比版本，特别适用于摘要和分类任务。,[0-2],1,国外,,
ChatGPT（Open AI）,GPT-5 chat-latest,￥8.90,￥71.20,这些模型用于 ChatGPT，不推荐在 API 中使用。GPT-5 Chat 指的是当前 ChatGPT 所使用的 GPT-5 快照。我们建议在大多数 API 场景中使用 GPT-5，但如果你想测试我们在聊天场景中的最新改进，可以尝试使用这个 GPT-5 Chat 模型。,[0-2],1,国外,,
ChatGPT（Open AI）,gpt-4.1,￥14.24,￥56.96,最智能的非推理模型。GPT-4.1 在指令遵循和工具调用方面表现出色，具备广泛的跨领域知识。它拥有 100 万 token 的上下文窗口，并在无推理步骤的情况下实现低延迟响应。,[0-2],1,国外,是,
ChatGPT（Open AI）,gpt-4.1-mini,￥2.85,￥11.39,"GPT-4.1 的更小、更快速版本。
",[0-2],1,国外,,
ChatGPT（Open AI）,gpt-4.1-nano,￥0.71,￥2.85,GPT-4.1 的最快且最具性价比版本。,[0-2],1,国外,,
ChatGPT（Open AI）,gpt-4o,￥17.80,￥71.20,快速、智能且灵活的 GPT 模型。GPT-4o（“o” 代表 “omni”）是我们通用型、高智能的旗舰模型。它可接受文本和图像输入，并生成文本输出（包括结构化输出）。它是适用于大多数任务的最佳模型，也是除 o 系列外我们性能最强的模型。,[0-2],1,国外,是,
ChatGPT（Open AI）,gpt-4o-mini,￥1.07,￥4.27,GPT-4o mini（“o”代表“omni”）是一款快速、经济的小型模型，适用于专注型任务。它接受文本和图像输入，并生成文本输出（包括结构化输出）。它非常适合进行微调，并且像 GPT-4o 这样的大型模型的输出可以提炼到 GPT-4o-mini 中，从而以更低的成本和延迟产生类似的结果。,[0-2],1,国外,,
Gemini（Google）,gemini-2.5-pro（200k）,￥8.90,￥71.20,Google 旗下先进的多用途模型，擅长处理编码和复杂的推理任务。,[0-2],1,国外,是,
Gemini（Google）,gemini-2.5-flash,￥2.14,￥17.80,我们的首个混合推理模型，支持 100 万个 token 的上下文窗口，并具有思考预算。,[0-2],1,国外,是,
Gemini（Google）,gemini-2.5-flash-preview,￥2.14,￥17.80,基于 2.5 Flash 模型的最新模型。2.5 Flash 预览版最适合大规模处理、低延迟、需要思考的高数据量任务以及代理应用场景。,[0-2],1,国外,,
Gemini（Google）,gemini-2.5-flash-lite-preview,￥0.71,￥2.85,基于 Gemini 2.5 Flash Lite （Google 旗下最小巧且最具成本效益的模型，专为大规模使用而打造。）的最新模型，经过优化，可实现高成本效益、高吞吐量和高质量。,[0-2],1,国外,,
Gemini（Google）,gemini-2.0-flash,￥0.71,￥2.85,Google 旗下最均衡的多模态模型，在所有任务中均表现出色，支持长达 100 万个 token 的上下文窗口，专为智能体时代而打造。,[0-2],1,国外,,
Gemini（Google）,gemini-2.0-flash-lite,￥0.57,￥2.14,Google 旗下最小巧且最具成本效益的模型，专为大规模使用而打造。,[0-2],1,国外,,
Claude（Anthropic）,Claude Sonnet 4.5,￥21.36,￥106.80,复杂代理和编程的最佳模型，在大多数任务中具有最高智能，在长时间运行的自主任务中具有卓越的工具编排能力,[0-1],1,国外,是,
Claude（Anthropic）,Claude Haiku 4.5,￥7.12,￥35.60,具有闪电般速度和扩展思维的近前沿性能 - 我们最快、最智能的Haiku模型，价格最经济,[0-1],1,国外,,
